[24.03.2025 21:41:43] 192.168.0.6:50776 -> 213.180.193.234:443, Seq=102031994, Флаги=16
[24.03.2025 21:41:43] 213.180.193.234:443 -> 192.168.0.6:50776, Seq=2168407980, Флаги=16
[24.03.2025 21:42:21] 192.168.0.6:49719 -> 148.113.190.78:17301, Seq=1217767323, Флаги=24
[24.03.2025 21:42:21] 148.113.190.78:17301 -> 192.168.0.6:49719, Seq=1164950075, Флаги=24
[24.03.2025 21:42:21] 192.168.0.6:49719 -> 148.113.190.78:17301, Seq=1217767359, Флаги=16
[24.03.2025 21:45:57] 192.168.0.6:50569 -> 213.180.193.234:443, Seq=4218296901, Флаги=16
[02.05.2025 23:23:32] 192.168.0.15:64422 -> 87.250.251.119:443, Seq=3206959490, Флаги=16
[02.05.2025 23:23:32] 87.250.251.119:443 -> 192.168.0.15:64422, Seq=4214245488, Флаги=16
[02.05.2025 23:23:32] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356113993, Флаги=24
[02.05.2025 23:23:32] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875383572, Флаги=16
[02.05.2025 23:23:33] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875383572, Флаги=24
[02.05.2025 23:23:33] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356114306, Флаги=24
[02.05.2025 23:23:33] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875383677, Флаги=16
[02.05.2025 23:23:38] 192.168.0.15:58742 -> 192.168.0.9:445, Seq=3794421131, Флаги=16
[02.05.2025 23:23:38] 192.168.0.9:445 -> 192.168.0.15:58742, Seq=1344010310, Флаги=16
[02.05.2025 23:23:40] 192.168.0.15:63673 -> 213.180.204.179:443, Seq=1049449793, Флаги=16
[02.05.2025 23:23:40] 213.180.204.179:443 -> 192.168.0.15:63673, Seq=1981915042, Флаги=16
[02.05.2025 23:23:41] 91.105.192.100:443 -> 192.168.0.15:64365, Seq=4291397813, Флаги=17
[02.05.2025 23:23:41] 192.168.0.15:64365 -> 91.105.192.100:443, Seq=4226064641, Флаги=16
[02.05.2025 23:23:41] 192.168.0.15:64365 -> 91.105.192.100:443, Seq=4226064641, Флаги=17
[02.05.2025 23:23:41] 192.168.0.15:64632 -> 91.105.192.100:443, Seq=708273406, Флаги=2
[02.05.2025 23:23:41] 192.168.0.15:64633 -> 91.105.192.100:80, Seq=141937630, Флаги=2
